en,de
I said that.,Ich habe das gesagt.
I saved you.,Ich habe dich gerettet.
I saw a dog.,Ich habe einen Hund gesehen.
I smell gas.,Ich rieche Benzin.
I surrender.,Ich ergebe mich.
I trust him.,Ich vertraue ihm.
I want Mary.,Ich will Maria.
I want eggs.,Ich will Eier.
I want more.,Ich will mehr.
I want this.,Ich will das hier.
I was alone.,Ich war allein.
I was bored.,Ich langweilte mich.
I was drunk.,Ich war besoffen.
I was happy.,Ich war glücklich.
I was lying.,Ich habe gelegen.
I was naive.,Ich war naiv.
I was quiet.,Ich war still.
I was sober.,Ich war nüchtern.
I was tired.,Ich war müde.
I was wrong.,Ich hatte unrecht.
I whispered.,Ich habe geflüstert
I will stay.,Ich werde bleiben.
I won't die.,Ich werde nicht sterben.
I'll attend.,Ich werde da sein.
I'll buy it.,Ich kaufe es.
I'll decide.,Ich werde entscheiden.
I'll get by.,Ich werde klarkommen.
I'll get up.,Ich werde aufstehen.
I'll manage.,Ich werde klarkommen.
I'll try it.,Ich werde es probieren.
"I'm 17, too.",Ich bin auch siebzehn.
I'm a child.,Ich bin ein Kind.
I'm a medic.,Ich bin Arzt.
I'm a nurse.,Ich bin Krankenschwester.
I'm at home.,Ich bin zu Hause.
I'm chicken.,Ich bin ein Angsthase.
I'm dancing.,Ich tanze.
I'm fasting.,Ich faste.
I'm healthy.,Ich bin bei guter Gesundheit.
I'm humming.,Ich summe gerade.
I'm in here.,Ich bin hier drin.
I'm in pain.,Ich habe Schmerzen.
I'm leaving.,Ich gehe.
I'm nervous.,Ich bin nervös.
I'm not Tom.,Ich bin nicht Tom.
I'm not old.,Ich bin nicht alt.
I'm not you.,Ich bin nicht du.
I'm over it.,Ich bin darüber hinweg.
I'm praying.,Ich bete.
I'm retired.,Ich bin in Rente.
I'm serious.,Es ist mein Ernst.
I'm sincere.,Ich bin aufrichtig.
I'm starved.,Ich sterbe vor Hunger!
I'm stuffed!,Ich bin pappsatt.
I'm the law.,Das Gesetz bin ich!
I'm thirsty.,Ich bin durstig.
I'm trapped.,Ich bin gefangen.
I'm unlucky.,Ich habe Pech.
I'm useless.,Ich bin nutzlos.
I'm winning.,Ich gewinne.
I've failed.,Ich bin gescheitert.
Ignore that.,Ignorier das.
Ignore them.,Ignoriert sie.
Is Tom here?,Ist Tom hier?
Is Tom safe?,Ist Tom sicher?
Is Tom tall?,Ist Tom groß?
Is it Tom's?,Ist es Toms?
Is it legal?,Ist das legal?
Is it tasty?,Schmeckt's?
Is it there?,Ist sie da?
Is it windy?,Ist es windig?
Is it yours?,Ist das deins?
Is she nice?,Ist sie nett?
Is that fun?,Macht das Spaß?
Is this Tom?,Ist das Tom?
It can wait.,Das hat Zeit.
It happened.,Es ist passiert.
It is foggy.,Es ist Nebel.
It may rain.,Vielleicht regnet es.
It was cold.,Es war kalt.
It was here.,Es war hier.
It'll be OK.,Es wird in Ordnung gehen.
It'll break.,Es wird brechen.
It's a book.,Das ist ein Buch.
It's a fish.,Das ist ein Fisch.
It's a pity.,Es ist schade.
It's broken.,Es ist kaputt.
It's for us.,Es ist für uns.
It's locked.,Er ist abgeschlossen.
It's my job.,Das ist meine Arbeit.
It's poison.,Das ist Gift.
It's simple.,Es ist einfach.
It's stupid.,Das ist blöd.
It's urgent.,Es eilt.
Jump across.,Springen Sie hinüber.
Just try it.,Versucht es doch einfach!
Keep moving.,Beweg dich weiter!
Keep trying.,Versuch's weiter!
Let's begin.,Lasst uns beginnen.
Let's begin.,Lasst uns loslegen.
Let's begin.,Lasst uns anfangen!
Let's dance.,Lass uns tanzen.
Let's go in.,Lass uns reingehen.
Let's relax.,Entspannen wir uns!
Let's start!,Fangen wir an!
Let's study.,Lasst uns studieren!
Look at him.,Schaue ihn an.
Look closer.,Schauen Sie genauer hin.
Make a fist.,Machen Sie eine Faust.
Make a list.,Macht eine Liste.
Many thanks.,Danke sehr!
Memorize it.,Präg es dir ein.
Money talks.,Geld regiert die Welt.
No one came.,Niemand kam.
No one knew.,Keiner wusste es.
Nobody came.,Es kam niemand.
Nobody knew.,Keiner wusste Bescheid.
Nobody move!,Keine Bewegung!
Now you try.,Jetzt versuch's du.
OK. I agree.,"Okay, ich bin einverstanden."
Plants grow.,Pflanzen wachsen.
Please come.,Kommt bitte.
Please sing.,Sing bitte.
Press Enter.,Drücken Sie die Eingabetaste.
Put it down.,Legen Sie es hin!
Record this.,Nehmen Sie das auf!
Release Tom.,Lassen Sie Tom frei!
Remember it.,Merk es dir.
Say goodbye.,Verabschiede dich!
Say goodbye.,Sagt „Auf Wiedersehen!“!
Send Tom in.,Schick Tom herein!
Shall we go?,Gehen wir?
She blushed.,Sie wurde rot.
She fainted.,Sie wurde ohnmächtig.
She is kind.,Sie ist nett.
She is late.,Sie kommt zu spät.
She woke up.,Sie wachte auf.
Show him in.,Bring ihn herein.
Spit it out.,Raus mit der Sprache!
Stand aside.,Gehen Sie zur Seite!
Stand still.,Stehen sie still!
Start again.,Beginnen Sie noch einmal.
Stick to it!,Bleibt dabei!
Stick to it!,Bleib dabei!
Stop trying.,Probier es nicht länger.
Stop! Thief!,Haltet den Dieb!
Surprise me.,Überrascht mich.
Take a bath.,Badet!
Take a card.,Nimm eine Karte!
Take a seat.,Setz dich!
Take a walk.,Geh spazieren!
Take action.,Handele!
Take my car.,Nimm meinen Wagen!
Talk slower.,Rede langsamer.
Tell Tom no.,Erteil Tom eine Absage.
That helped.,Das hat geholfen.
That's cool.,Das ist geil.
That's fine.,Das ist in Ordnung.
That's huge.,Das ist enorm.
That's mine.,Das gehört mir.
That's over.,Das ist vorbei.
The TV's on.,Der Fernseher ist an.
There it is!,Da ist sie ja!
There it is.,Da ist sie.
They burned.,Sie sind verbrannt.
They called.,Sie kamen vorbei.
They did it.,Sie haben es geschafft.
They kissed.,Sie küssten sich.
They saw me.,Sie sahen mich.
They waited.,Sie warteten.
They're new.,Sie sind neu.
Think again.,Denk noch mal nach!
This is Tom.,Hier spricht Tom.
This is ice.,Das ist Eis.
This stinks.,Das ist Mist.
Tom belched.,Tom rülpste.
Tom blushed.,Tom wurde rot.
Tom can win.,Tom kann gewinnen.
Tom cheated.,Tom hat betrogen.
Tom cheated.,Tom hat geschummelt.
Tom coughed.,Tom hustete.
Tom escaped.,Tom entkam.
Tom frowned.,Tom runzelte die Stirn.
Tom gave up.,Tom gab auf.
Tom gloated.,Tom freute sich hämisch.
Tom groaned.,Tom ächzte.
Tom has OCD.,Tom leidet unter Zwängen.
Tom has one.,Tom hat einen.
Tom hurt me.,Tom hat mir weh getan.
Tom is a DJ.,Tom ist Schallplattenunterhalter.
Tom is bald.,Tom hat eine Glatze.
Tom is busy.,Tom hat zu tun.
Tom is cold.,Tom friert.
Tom is cute.,Tom ist süß.
Tom is evil.,Tom ist böse.
Tom is fine.,Tom geht es gut.
Tom is gone.,Tom ist weg.
Tom is home.,Tom ist zu Hause.
Tom is last.,Tom ist der Letzte.
Tom is lost.,Tom hat sich verirrt.
Tom is mine.,Tom gehört mir!
Tom is pale.,Tom ist blass.
Tom is rude.,Tom ist unhöflich.
Tom is sick.,Tom ist krank.
Tom is sure.,Tom ist sich sicher.
Tom is tidy.,Tom ist ordentlich.
Tom is vain.,Tom ist eingebildet.
Tom is wise.,Tom ist weise.
Tom knew it.,Tom wusste es.
Tom knew it.,Tom kannte sie.
Tom made it.,Tom hat es geschafft.
Tom noticed.,Tom hat es bemerkt.
Tom painted.,Tom malte.
Tom ran off.,Tom ist weggelaufen.
Tom relaxed.,Tom entspannte sich.
Tom replied.,Thomas antwortete.
Tom saw her.,Tom hat sie gesehen.
Tom saw you.,Tom sah dich.
Tom shot me.,Tom schoss auf mich.
Tom slipped.,Tom ist ausgerutscht.
Tom stopped.,Tom hat angehalten.
Tom teaches.,Tom unterrichtet.
Tom took it.,Tom nahm es.
Tom vomited.,Tom hat sich übergeben.
Tom was hot.,Tom war heiß.
Tom was ill.,Tom war krank.
Tom was out.,Tom war ausgegangen.
Tom was shy.,Tom war schüchtern.
Tom watched.,Thomas hat zugesehen.
Tom will go.,Tom wird gehen.
Tom'll call.,Tom wird anrufen.
Tom'll know.,Tom wird es wissen.
Tom'll quit.,Tom wird aufhören.
Tom'll wait.,Tom wird warten.
Tom's alive.,Tom lebt.
Tom's angry.,Tom ist verärgert.
Tom's crazy.,Tom ist bescheuert.
Tom's flaky.,Tom ist unzuverlässig.
Tom's happy.,Tom ist glücklich.
Tom's older.,Tom ist älter.
Tom's right.,Tom hat Recht.
Tom's tipsy.,Tom hat einen im Tee.
Tom's weird.,Tom ist komisch.
"Tom, get up!","Tom, aufstehen!"
Try this on.,Probier den an!
Turn around.,Dreh um.
Turn it off.,Mach das aus.
Turn it off.,Mach es aus.
Use caution.,Seid vorsichtig!
Use caution.,Lass Vorsicht walten!
Use caution.,Lasst Vorsicht walten!
Vote for me!,Wählen Sie mich!
Wait for us.,Warte auf uns!
Wake Tom up.,Wecke Tom!
Was I wrong?,Lag ich damit falsch?
We all know.,Wir wissen es alle.
We are sick.,Wir sind krank.
We broke up.,Wir haben Schluss gemacht.
We can rest.,Wir können uns ausruhen.
We can talk.,Wir können sprechen.
We found it.,Wir haben es gefunden.
We help Tom.,Wir helfen Tom.
We know why.,"Wir wissen, warum."
We like Tom.,Wir mögen Tom.
We love you.,Wir lieben euch.
We miss you.,Du fehlst uns.
We need you.,Wir brauchen dich.
We promised.,Wir haben es versprochen.
We sat down.,Wir setzten uns.
We survived.,Wir haben überlebt.
We'll be OK.,Wir werden okay sein.
We'll do it.,Wir machen das.
We'll hurry.,Wir werden uns beeilen.
We'll shoot.,Wir werden schießen.
We'll start.,Wir werden anfangen.
We're awake.,Wir sind wach.
We're clean.,Wir sind sauber.
We're dizzy.,Uns ist schwindlig.
We're going.,Wir gehen.
We're ready.,Wir sind bereit.
We're sorry.,Es tut uns leid.
We're upset.,Wir sind verärgert.
We've moved.,Wir sind umgezogen.
What a game!,Was für ein Spiel!
What a pity!,Schade.
What an ego!,Was für ein Ego!
What's love?,Was ist Liebe?
What's this?,Was ist das für ein Ding?
Where is he?,Wo steckt er?
Where is it?,Wo steckt er?
Who are you?,Wer bist du?
Who cheated?,Wer hat geschummelt?
Who cheated?,Wer hat betrogen?
Who escaped?,Wer ist entkommen?
Who hit you?,Wer hat Sie geschlagen?
Who is that?,Wer ist das?
Who saw you?,Wer hat euch gesehen?
Who saw you?,Wer sah Sie?
Who'll come?,Wer kommt?
Who's dying?,Wer stirbt?
Who's first?,Wer kommt zuerst?
Who's there?,Wer da?
Why is that?,Wie kommt das?
Will he die?,Wird er sterben?
Write to me.,Schreib mir!
"Yes, I know.","Ja, ich weiß."
You can try.,Ihr könnt es versuchen.
You did lie.,Du hast doch gelogen!
You keep it.,Das können Sie ruhig behalten.
You keep it.,Den kannst du ruhig behalten.
You keep it.,Die können Sie ruhig behalten.
You know me.,Sie kennen mich.
You made it.,Du hast es geschafft.
You need it.,Ihr braucht es.
You need me.,Ihr braucht mich.
You need us.,Sie brauchen uns.
You said it!,Ganz genau!
You're back.,Sie sind zurück.
You're fair.,Du bist fair.
You're free.,Du bist frei.
You're kind.,Du bist nett.
You're lost.,Du hast dich verirrt.
You're mine.,Du bist mein.
You're mine.,Ich habe dich.
You're nuts!,Du bist verrückt!
You're nuts.,Ihr seid doch verrückt.
You're thin.,Sie sind dünn.
You're tidy.,Sie sind ordentlich.
You're vain.,Ihr seid eitel.
You're weak.,Du bist schwach.
You're wise.,Du bist weise.
Abandon ship!,Alle Mann von Bord!
All was calm.,Alles war ruhig.
Am I invited?,Bin ich eingeladen?
Anybody hurt?,Ist jemand verletzt?
Anything new?,Gibt es etwas Neues?
Are we broke?,Sind wir pleite?
Are you busy?,Bist du beschäftigt?
Are you busy?,Habt ihr zu tun?
Are you cold?,Ist euch kalt?
Are you deaf?,Bist du taub?
Are you fair?,Bist du gerecht?
Are you here?,Bist du hier?
Are you hurt?,Bist du verletzt?
Are you hurt?,Hast du dir wehgetan?
Are you lost?,Habt ihr euch verlaufen?
Are you okay?,Bist du okay?
Are you sick?,Bist du krank?
Are you tall?,Bist du groß?
Are you well?,Geht es dir gut?
Be attentive.,Seid aufmerksam!
Be objective.,Seien Sie objektiv.
Boil one egg.,Kocht ein Ei!
Bring backup.,Hol Verstärkung.
Call Tom now.,Ruf jetzt Tom an!
Call the FBI.,Ruf das FBI an.
Can Tom cook?,Kann Tom kochen?
Can you come?,Kannst du kommen?
Can you cook?,Können Sie kochen?
Can you help?,Können Sie helfen?
Can you read?,Kannst du lesen?
Can you sing?,Kannst du singen?
Can you stay?,Kannst du bleiben?
Can you swim?,Können Sie schwimmen?
Can you walk?,Kannst du gehen?
Come at once.,Kommen Sie sofort hierher!
Come at once.,Kommt sofort.
Come back in.,Kommen Sie wieder herein.
Come forward.,Meldet euch.
Come forward.,Treten Sie vor.
Come help me.,Kommt mir mal helfen!
"Come in, Tom.","Komm rein, Tom!"
"Come on, Tom.","Komm schon, Tom!"
Come quickly!,Kommen Sie schnell!
Come quickly.,Kommen Sie schnell!
Come with me.,Komm mit!
Come with us.,Komm mit uns.
Cut that out!,Hör auf!
Describe Tom.,Beschreibe Tom.
Did Tom help?,Hat Tom geholfen?
Did Tom pray?,Hat Tom gebetet?
Did Tom swim?,Ist Tom geschwommen?
Did you help?,Hast du geholfen?
Did you sing?,Hast du gesungen?
Do I look OK?,Seh ich okay aus?
Do it anyway.,Mach’s trotzdem!
Do it for me.,Tun Sie’s für mich!
Do something.,Mach doch etwas!
Do something.,Macht doch etwas!
Do you drink?,Trinken Sie?
Do you smoke?,Rauchst du?
Do you teach?,Unterrichten Sie?
Do your best!,Geben Sie Ihr Bestes!
Do your duty.,Tu deine Pflicht.
Does it work?,Klappt das?
Does it work?,Klappt es?
Don't ask me.,Frag mich nicht.
Don't be shy.,Sei nicht so schüchtern.
Don't eat it.,Iss das nicht!
Don't forget.,Vergessen Sie es nicht!
Don't go yet.,Geh noch nicht!
Don't let go!,Lass nicht los!
Don't scream.,Schreien Sie nicht!
Dress warmly.,Ziehen Sie sich warm an!
Drive faster.,Fahren Sie schneller.
Drive slowly.,Fahre langsam.
Easy does it.,Vorsicht ist die Mutter der Porzellankiste.
Examine this.,Untersuchen Sie das.
Fix the roof.,Repariere das Dach!
Get my rifle.,Holen Sie mein Gewehr.
Get the book.,Hol das Buch!
Give it a go.,Versuch’s doch mal!
Give it back.,Geben Sie es zurück.
Give me half.,Gebt mir die Hälfte.
Go around it.,Geh drumrum.
Go to school.,Geh in die Schule.
Good for you.,Schön für euch.
Grab my hand.,Nimm meine Hand.
Happy Easter!,Frohe Ostern!
Has Tom gone?,Ist Tom gegangen?
Have a drink.,Trinken Sie etwas.
Have another.,Nimm noch eins.
Have another.,Nehmen Sie noch eins.
Have courage.,Sei mutig!
He avoids me.,Er schneidet mich.
He could die.,Er könnte sterben.
He dozed off.,Er schlief ein.
He dumped me.,Er hat mir den Laufpass gegeben.
He has a car.,Er hat ein Auto.
He hates her.,Er hasst sie.
He is a poet.,Er ist ein Dichter.
He is cranky.,Er ist unleidlich.
He is driven.,Er will hoch hinaus.
He is heroic.,Er ist heldenhaft.
He let us go.,Er ließ uns gehen.
He loves her.,Er liebt sie.
He runs fast.,Er rennt schnell.
He wants one.,Er will eins.
He was brave.,Er war mutig.
He was naive.,Er war naiv.
He was naive.,Er war leichtgläubig.
He was wrong.,Er lag falsch.
He will come.,Er wird kommen.
He's a bigot.,Er ist ein religiöser Eiferer.
He's in pain.,Er hat Schmerzen.
Help Tom out.,Unterstütze Tom!
Here you are.,Bitte schön!
"Hey, wait up!","Hey, wartet mal!"
Honesty pays.,Ehrlichkeit zahlt sich aus.
How dare you!,Wie kannst du es wagen!
How horrible!,Wie schrecklich!
How touching!,Wie berührend!
I admire you.,Ich bewundere euch.
I adored Tom.,Ich betete Tom an.
I always try.,Ich versuche es immer.
I am Chinese.,Ich bin Chinesin.
I am at home.,Ich bin zu Hause.
I am so sick.,Ich bin so krank.
I ate a pear.,Ich habe eine Birne gegessen.
I bit my lip.,Ich biss mir auf die Lippen.
I burp a lot.,Ich rülpse viel.
I called him.,Ich rief ihn an.
I can see it.,Ich kann es sehen.
I can't help.,Ich kann nicht helfen.
I can't sing.,Ich kann nicht singen.
I can't talk.,Ich kann nicht sprechen.
"I cried, too.",Ich habe auch geweint.
I deserve it.,Ich habe es verdient.
I didn't lie.,Ich habe nicht gelogen.
I do hope so.,Das hoffe ich.
I do want it.,Ich möchte es.
I don't care.,Egal.
I don't know.,Weiß ich nicht.
I don't mind.,Das ist mir egal.
I don't mind.,Es macht mir nichts aus.
I don't swim.,Ich schwimme nicht.
I drink milk.,Ich trinke Milch.
I dumped Tom.,Ich gab Tom den Laufpass.
I enjoy life.,Ich habe Freude am Leben.
I feel dizzy.,Mir wird übel.
I feel faint.,Ich fühle mich schwach.
I feel happy.,Ich bin glücklich.
I feel young.,Ich fühle mich jung.
I fought Tom.,Ich kämpfte gegen Tom.
I go jogging.,Ich gehe joggen.
I hate beans.,Ich hasse Bohnen.
I hate tests.,Ich hasse Tests.
I have a cow.,Ich habe eine Kuh.
I have a job.,Ich habe eine Arbeit.
I have a map.,Ich habe eine Landkarte.
I have hives.,Ich habe Nesselsucht.
I have proof.,Ich habe Beweise.
I hear music.,Ich höre Musik.
I hope I win.,"Ich hoffe, dass ich gewinne."
I hugged her.,Ich drückte sie.
I improvised.,Ich habe es improvisiert.
I knelt down.,Ich kniete mich hin.
I like bread.,Ich mag Brot.
I like honey.,Ich mag Honig.
I like sugar.,Ich mag Zucker.
I like trees.,Ich mag Bäume.
I lost a bet.,Ich habe eine Wette verloren.
I love books.,Ich liebe Bücher.
I love jokes.,Ich liebe Witze.
I love pizza.,Ich esse sehr gerne Pizza.
I made a bet.,Ich schloss eine Wette ab.
I missed you.,Du hast mir gefehlt.
I must study.,Ich muss lernen.
I need a hug.,Ich brauche eine Umarmung.
I need a map.,Ich benötige eine Karte.
I need paint.,Ich brauche Farbe.
I need water.,Ich brauche Wasser.
I never swim.,Ich schwimme nie.
I obeyed Tom.,Ich habe Tom gehorcht.
I phoned him.,Ich rief ihn an.
I prefer jam.,Ich habe lieber Marmelade.
I read books.,Ich lese Bücher.
I see a lion.,Ich sehe einen Löwen.
I sell fruit.,Ich verkaufe Obst.
I speak fast.,Ich spreche schnell.
I swim a lot.,Ich schwimme viel.
I sympathize.,Ich fühle mit Ihnen mit.
I thought so.,Das habe ich mir gedacht.
I tried hard.,Ich habe mir große Mühe gegeben.
I want a dog.,Ich will einen Hund haben.
I want a job.,Ich will Arbeit.
I want facts.,Ich will Tatsachen.
I want proof.,Ich will einen Beweis.
I was a fool.,Ich war ein Idiot.
I was joking.,Ich habe Spaß gemacht.
I was shaken.,Ich war erschüttert.
I was stoned.,Ich war breit.
I went there.,Ich ging hin.
I will learn.,Ich werde es lernen.
I won't come.,Ich werde nicht kommen.
I won't lose.,Ich werde nicht verlieren.
I wrote that.,Ich habe das geschrieben.
I'll ask him.,Ich werde ihn fragen.
I'll be fine.,Ich werde schon zurechtkommen.
I'll be free.,Ich werde frei sein.
I'll be late.,Ich verspäte mich.
I'll be nice.,Ich werde brav sein.
I'll do that.,Ich werde das machen.
I'll do this.,Ich werde das tun.
I'll get one.,Ich werde eins holen.
I'll get you.,Ich hole dich.
I'll pay you.,Ich werde dich bezahlen.
I'll read it.,Ich werde es lesen.
I'll take it.,Ich nehme es.
I'm Canadian.,Ich bin Kanadierin.
I'm a coward.,Ich bin ein Angsthase.
I'm a dancer.,Ich bin Tänzerin.
I'm a farmer.,Ich bin Landwirt.
I'm a genius.,Ich bin ein Genie.
I'm a lawyer.,Ich bin Rechtsanwalt.
I'm a purist.,Ich bin Purist.
I'm a singer.,Ich bin Sängerin.
I'm addicted.,Ich bin süchtig.
I'm an actor.,Ich bin Schauspieler.
I'm at Tom's.,Ich bin bei Tom.
I'm busy now.,Ich bin im Moment beschäftigt.
I'm diabetic.,Ich bin Diabetiker.
I'm drowning.,Ich ertrinke.
I'm dyslexic.,Ich bin Legasthenikerin.
I'm escaping.,Ich bin dabei zu entkommen.
I'm fighting.,Ich kämpfe.
I'm finished.,Ich bin fertig.
I'm freezing.,Ich friere.
I'm grounded.,Ich habe Hausarrest.
I'm home now.,Ich bin jetzt zu Hause.
I'm hungover.,Ich habe einen Kater.
I'm in a jam.,Ich stecke in einem Stau.
I'm managing.,Ich komme klar.
I'm no rebel.,Ich bin kein Aufständischer.
I'm no saint.,Ich bin kein Heiliger.
I'm not cool.,Ich bin nicht cool.
I'm not done.,Ich bin noch nicht fertig.
I'm not here.,Ich bin nicht hier.
I'm not hurt.,Ich bin unverletzt.
I'm not rich.,Ich bin nicht reich.
I'm not sure.,Ich bin mir nicht sicher.
I'm not well.,Mir geht es schlecht.
I'm offended.,Ich bin beleidigt.
I'm positive.,Ich bin sicher.
I'm restless.,Ich bin ruhelos.
I'm safe now.,Ich bin jetzt sicher.
I'm so alone.,Ich bin so allein.
I'm so happy.,Ich bin so glücklich.
I'm so sorry.,Das tut mir sehr leid.
I'm standing.,Ich stehe.
I'm stronger.,Ich bin stärker.
I'm the best.,Ich bin der Beste.
I'm thorough.,Ich bin gründlich.
I'm too busy.,Ich bin zu beschäftigt.
I'm upstairs.,Ich bin oben.
I'm very hot.,Mir ist sehr heiß.
I'm watching.,Ich schaue zu.
I'm with him.,Ich bin bei ihm.
I'm your age.,Ich habe dein Alter.
I've lost it.,Ich habe es verloren.
I've lost it.,Ich spinne.
Is Monday OK?,Ist Montag in Ordnung?
Is Tom awake?,Ist Tom wach?
Is Tom drunk?,Ist Tom betrunken?
Is Tom lucid?,Ist Tom bei klarem Verstand?
Is Tom right?,Hat Tom recht?
Is it a wolf?,Ist es ein Wolf?
Is it enough?,Reicht das?
Is that a no?,Ist das ein nein?
Is that love?,Ist das Liebe?
Is that real?,Ist das echt?
Is that true?,Ist das wahr?
Is this cool?,Ist das cool?
Is this love?,Ist das hier Liebe?
Is this real?,Ist das echt?
It is a book.,Das ist ein Buch.
It isn't bad.,Es ist nicht schlecht.
It may break.,Es könnte kaputt gehen.
It took time.,Das hat gedauert.
It was a bet.,Es war eine Wette.
It was black.,Er war schwarz.
It was great.,Es war großartig!
It was scary.,Es war gruselig.
It was white.,Sie war weiß.
It works now.,Es funktioniert jetzt.
It'll happen.,Es wird geschehen.
It's a fruit.,Das ist eine Frucht.
It's a shame.,Es ist schade.
It's a start.,Ein Anfang ist gemacht!
It's awesome.,Es ist wunderbar.
It's bedtime.,"Zeit, ins Bett zu gehen!"
It's for Tom.,Das ist für Tom.
It's hearsay.,Es ist ein Gerücht.
It's my book.,Das ist mein Buch.
It's no good.,Das kann man in der Pfeife rauchen.
It's not bad.,Das ist nicht übel.
It's our car.,Es ist unser Auto.
It's raining.,Es regnet gerade.
It's so dark.,Es ist so dunkel.
It's so nice.,Es ist so schön.
It's too big.,Er ist zu groß.
It's too hot.,Er ist zu heiß.
It's unusual.,Es ist ungewöhnlich.
It's working.,Es funktioniert.
Just go away.,Geh einfach weg.
Keep dancing.,Tanz weiter.
Keep driving.,Fahr weiter!
Keep looking.,Suche weiter!
Keep looking.,Suchen Sie weiter!
Keep running.,Renn weiter.
Keep singing.,Singen Sie weiter.
Keep smiling.,Lächeln Sie weiter.
Keep walking.,Geh weiter.
Keep working.,Arbeiten Sie weiter.
Keep writing.,Schreibt weiter.
Lead the way.,Geh voran!
Learn French.,Lernen Sie Französisch!
Let Tom come.,Lasst Tom kommen.
